Results for game Roxanne against AlphaBeta5
Each cycle contains 100 games, where first half of games Roxanne is black and second half AlphaBeta5 is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
Roxanne,AlphaBeta5,Discs_Roxanne,Discs_AlphaBeta5
0,1,16,48
0,1,9,55
0,1,0,64
0,1,18,46
0,1,3,61
0,1,4,60
0,1,30,34
0,1,0,64
0,1,10,54
0,1,9,55
0,1,2,62
0,1,4,60
0,1,11,53
0,1,15,49
0,1,14,50
0,1,21,43
0,1,8,56
0,1,29,35
0,1,5,59
0,1,27,37
0,1,19,45
0,1,0,64
0,1,25,39
0,1,9,55
0,1,11,53
0,1,13,51
0,1,7,57
0,1,9,55
0,1,6,58
0,1,6,58
0,1,27,37
0,1,5,59
0,1,20,44
0,1,5,59
0,1,15,49
0,1,22,42
0,1,12,52
0,1,2,62
0,1,0,64
0,1,13,51
0,1,12,52
0,1,0,64
0,1,11,53
0,1,22,42
0,1,26,38
0,1,19,45
0,1,17,47
0,1,19,45
0,1,5,59
0,1,10,54
0,1,10,54
0,1,8,56
0,1,21,43
0,1,20,44
0,1,4,60
0,1,9,55
0,1,3,61
0,1,10,54
0,1,0,64
0,1,8,56
0,1,17,47
0,1,12,52
0,1,15,49
0,1,0,64
0,1,10,54
0,1,9,55
0,1,6,58
0,1,12,52
0,1,7,57
0,1,3,61
0,1,12,52
0,1,7,57
0,1,5,59
0,1,0,64
0,1,0,64
0,1,22,42
0,1,16,48
0,1,10,54
0,1,13,51
0,1,23,41
0,1,15,49
0,1,12,52
0,1,6,58
0,1,12,52
0,1,8,56
0,1,0,64
0,1,2,62
0,1,0,64
0,1,13,51
0,1,0,64
0,1,11,53
0,1,5,59
0,1,13,51
0,1,0,64
0,1,13,51
0,1,16,48
0,1,0,64
0,1,9,55
0,1,7,57
0,1,7,57

Cycle: 1
Roxanne,AlphaBeta5,Discs_Roxanne,Discs_AlphaBeta5
0,1,11,53
0,1,15,49
0,1,3,61
0,1,0,64
0,1,3,61
0,1,11,53
0,1,25,39
0,1,19,45
0,1,10,54
0,1,1,63
0,1,13,51
0,1,6,58
0,1,9,55
0,1,11,53
0,1,2,62
0,1,3,61
0,1,8,56
0,1,3,61
0,1,0,64
0,1,6,58
0,1,10,54
0,1,9,55
0,1,2,62
0,1,6,58
0,1,21,43
0,1,17,47
0,1,7,57
0,1,12,52
0,1,11,53
0,1,0,64
0,1,3,61
0,1,0,64
0,1,4,60
0,1,7,57
0,1,11,53
0,1,16,48
0,1,13,51
0,1,13,51
0,1,1,63
0,1,0,64
0,1,13,51
0,1,15,49
0,1,6,58
0,1,6,58
0,1,9,55
0,1,8,56
0,1,20,44
0,1,8,56
0,1,5,59
0,1,0,64
0,1,13,51
0,1,5,59
0,1,0,64
0,1,17,47
0,1,17,47
0,1,10,54
0,1,0,64
0,1,8,56
0,1,5,59
0,1,0,64
0,1,8,56
0,1,10,54
0,1,24,40
0,1,0,64
0,1,17,47
0,1,9,55
0,1,9,55
0,1,0,64
0,1,28,36
0,1,0,64
0,1,18,46
0,1,13,51
0,1,4,60
0,1,2,62
0,1,15,49
0,1,11,53
0,1,0,64
0,1,1,63
0,1,29,35
0,1,6,58
0,1,1,63
0,1,0,64
0,1,0,64
0,0,32,32
0,1,21,43
0,1,0,64
0,1,6,58
0,1,2,62
0,1,17,47
0,1,8,56
0,1,12,52
0,1,14,50
0,1,3,61
0,1,16,48
0,1,9,55
0,1,0,64
0,1,13,51
0,1,0,64
0,1,11,53
0,1,0,64

Cycle: 2
Roxanne,AlphaBeta5,Discs_Roxanne,Discs_AlphaBeta5
0,1,6,58
0,1,13,51
0,1,0,64
0,1,0,64
0,1,6,58
0,1,17,47
0,1,7,57
0,1,28,36
0,1,8,56
0,1,5,59
0,1,14,50
0,1,8,56
0,1,6,58
0,1,16,48
0,1,6,58
0,0,32,32
0,1,3,61
0,1,9,55
0,1,0,64
0,1,4,60
0,1,11,53
0,1,6,58
0,1,0,64
0,1,11,53
0,1,2,62
0,1,10,54
0,1,0,64
0,1,2,62
0,1,16,48
0,1,9,55
0,1,19,45
0,1,7,57
0,1,7,57
0,1,11,53
0,1,4,60
0,1,27,37
0,1,25,39
0,1,0,64
0,1,29,35
0,1,2,62
0,1,3,61
0,1,0,64
0,1,9,55
0,1,15,49
0,1,11,53
0,1,0,64
0,1,7,57
0,1,10,54
0,1,29,35
0,1,0,64
0,1,2,62
0,1,12,52
0,1,5,59
1,0,37,27
0,1,7,57
0,1,26,38
0,1,0,64
0,1,8,56
0,1,0,64
0,1,10,54
0,1,16,48
0,1,15,49
0,1,19,45
0,1,1,63
0,1,12,52
0,1,10,54
0,1,8,56
0,1,7,57
