Results for game Edax2 against DynamicRoxanne
Each cycle contains 100 games, where first half of games Edax2 is black and second half DynamicRoxanne is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
Edax2,DynamicRoxanne,Discs_Edax2,Discs_DynamicRoxanne
1,0,43,21
1,0,45,19
1,0,57,7
1,0,56,8
1,0,47,17
1,0,57,7
1,0,58,6
1,0,55,9
1,0,63,1
1,0,53,11
1,0,51,13
1,0,64,0
1,0,46,18
1,0,51,13
1,0,64,0
1,0,49,15
1,0,59,5
1,0,43,21
1,0,62,2
1,0,58,6
1,0,63,1
0,0,32,32
1,0,60,4
1,0,54,10
1,0,52,12
1,0,48,16
1,0,64,0
1,0,43,21
1,0,64,0
1,0,63,1
1,0,54,10
1,0,55,9
1,0,50,14
1,0,58,6
1,0,61,3
1,0,63,1
1,0,62,2

Cycle: 4
Edax2,DynamicRoxanne,Discs_Edax2,Discs_DynamicRoxanne
1,0,61,3
1,0,56,8
1,0,57,7
1,0,62,2
1,0,57,7
1,0,39,25
1,0,57,7
1,0,63,1
1,0,57,7
1,0,51,13
1,0,49,15
1,0,54,10
1,0,42,22
1,0,61,3
1,0,63,1
1,0,53,11
1,0,63,1
1,0,60,4
1,0,43,21
1,0,55,9
1,0,57,7
1,0,64,0
1,0,60,4
1,0,57,7
1,0,63,1
1,0,49,15
1,0,40,24
1,0,52,12
1,0,55,9
1,0,62,2
1,0,48,16
1,0,51,13
1,0,53,11
1,0,56,8
1,0,56,8
1,0,51,13
1,0,58,6
1,0,54,10
1,0,60,4
1,0,54,10
1,0,51,13
1,0,58,6
1,0,49,15
1,0,48,16
1,0,59,5
1,0,57,7
1,0,62,2
1,0,53,11
1,0,46,18
1,0,47,17
1,0,59,5
1,0,61,3
1,0,49,15
1,0,60,4
1,0,50,14
1,0,58,6
1,0,55,9
1,0,50,14
1,0,49,15
1,0,58,6
1,0,39,25
1,0,55,9
1,0,47,17
1,0,64,0
1,0,60,4
1,0,53,11
1,0,43,21
1,0,52,12
1,0,57,7
1,0,57,7
1,0,57,7
1,0,42,22
1,0,47,17
1,0,59,5
1,0,53,11
1,0,58,6
1,0,49,15
1,0,46,18
1,0,55,9
1,0,61,3
1,0,58,6
1,0,57,7
1,0,58,6
1,0,60,4
1,0,48,16
1,0,61,3
1,0,48,16
1,0,64,0
1,0,56,8
1,0,63,1
1,0,41,23
1,0,55,9
1,0,35,29
1,0,59,5
1,0,57,7
1,0,60,4
1,0,64,0
1,0,47,17
1,0,52,12
1,0,57,7

Cycle: 5
Edax2,DynamicRoxanne,Discs_Edax2,Discs_DynamicRoxanne
1,0,57,7
1,0,54,10
0,0,32,32
1,0,53,11
1,0,60,4
1,0,57,7
1,0,47,17
1,0,50,14
1,0,47,17
1,0,58,6
1,0,47,17
1,0,59,5
1,0,51,13
1,0,50,14
1,0,57,7
1,0,49,15
1,0,56,8
1,0,62,2
1,0,56,8
1,0,56,8
1,0,54,10
1,0,50,14
1,0,49,15
1,0,49,15
1,0,52,12
1,0,50,14
1,0,47,17
1,0,51,13
1,0,48,16
1,0,48,16
1,0,57,7
1,0,53,11
1,0,54,10
1,0,48,16
1,0,60,4
1,0,47,17
1,0,56,8
1,0,53,11
1,0,58,6
1,0,50,14
1,0,59,5
1,0,53,11
1,0,55,9
1,0,45,19
1,0,54,10
1,0,53,11
1,0,56,8
1,0,49,15
1,0,46,18
1,0,59,5
1,0,45,19
1,0,44,20
1,0,54,10
1,0,48,16
1,0,43,21
1,0,49,15
1,0,44,20
1,0,54,10
1,0,55,9
1,0,51,13
1,0,61,3
1,0,57,7
1,0,57,7
1,0,46,18
1,0,59,5
1,0,51,13
1,0,54,10
0,1,20,44
1,0,55,9
1,0,50,14
1,0,41,23
1,0,55,9
1,0,54,10
1,0,57,7
1,0,55,9
1,0,46,18
0,1,26,38
1,0,59,5
1,0,55,9
1,0,51,13
1,0,57,7
1,0,50,14
1,0,56,8
1,0,49,15
1,0,64,0
1,0,60,4
1,0,54,10
1,0,44,20
1,0,44,20
1,0,46,18
1,0,53,11
1,0,50,14
1,0,63,1
1,0,48,16
1,0,64,0
1,0,50,14
1,0,59,5
1,0,53,11
1,0,56,8
1,0,54,10

Cycle: 6
Edax2,DynamicRoxanne,Discs_Edax2,Discs_DynamicRoxanne
1,0,64,0
1,0,61,3
1,0,54,10
1,0,47,17
1,0,58,6
1,0,55,9
1,0,59,5
1,0,45,19
1,0,45,19
1,0,56,8
1,0,61,3
1,0,41,23
1,0,46,18
1,0,51,13
1,0,57,7
1,0,55,9
1,0,57,7
1,0,51,13
1,0,54,10
1,0,54,10
1,0,59,5
1,0,64,0
1,0,53,11
1,0,63,1
1,0,57,7
1,0,60,4
1,0,59,5
1,0,40,24
1,0,54,10
1,0,53,11
1,0,59,5
1,0,64,0
1,0,48,16
1,0,45,19
1,0,56,8
1,0,53,11
1,0,50,14
1,0,40,24
1,0,44,20
1,0,51,13
1,0,49,15
1,0,36,28
1,0,54,10
1,0,58,6
1,0,53,11
1,0,58,6
1,0,51,13
1,0,62,2
1,0,51,13
1,0,56,8
1,0,53,11
1,0,57,7
1,0,45,19
1,0,54,10
1,0,56,8
1,0,52,12
1,0,64,0
1,0,62,2
1,0,64,0
1,0,54,10
1,0,52,12
1,0,59,5
1,0,47,17
1,0,64,0
1,0,52,12
1,0,59,5
1,0,55,9
1,0,54,10
1,0,57,7
1,0,52,12
1,0,49,15
1,0,55,9
1,0,48,16
1,0,57,7
1,0,54,10
1,0,40,24
1,0,58,6
1,0,52,12
1,0,58,6
1,0,51,13
1,0,42,22
1,0,56,8
1,0,47,17
1,0,41,23
1,0,51,13
1,0,58,6
1,0,56,8
1,0,55,9
1,0,56,8
1,0,50,14
1,0,48,16
1,0,55,9
1,0,54,10
1,0,49,15
1,0,53,11
1,0,58,6
1,0,55,9
1,0,54,10
1,0,52,12
1,0,55,9

Cycle: 7
Edax2,DynamicRoxanne,Discs_Edax2,Discs_DynamicRoxanne
1,0,47,17
1,0,54,10
1,0,60,4
1,0,42,22
1,0,42,22
1,0,43,21
1,0,57,7
1,0,49,15
1,0,48,16
1,0,37,27
1,0,63,1
1,0,62,2
1,0,49,15
1,0,60,4
1,0,56,8
1,0,53,11
1,0,48,16
1,0,44,20
1,0,51,13
1,0,49,15
1,0,54,10
1,0,44,20
1,0,50,14
1,0,64,0
1,0,50,14
1,0,51,13
1,0,56,8
1,0,58,6
1,0,64,0
1,0,61,3
1,0,51,13
1,0,44,20
1,0,55,9
1,0,63,1
1,0,55,9
1,0,55,9
1,0,56,8
1,0,36,28
1,0,61,3
1,0,45,19
1,0,57,7
1,0,55,9
1,0,46,18
1,0,55,9
1,0,48,16
1,0,40,24
1,0,59,5
1,0,52,12
1,0,53,11
1,0,59,5
1,0,62,2
1,0,58,6
1,0,63,1
1,0,58,6
1,0,51,13
1,0,48,16
1,0,60,4
1,0,63,1
1,0,50,14
0,1,24,40
1,0,49,15
1,0,51,13
1,0,45,19
1,0,54,10
1,0,56,8
1,0,56,8
1,0,56,8
1,0,59,5
1,0,59,5
1,0,54,10
1,0,56,8
1,0,51,13
1,0,51,13
1,0,46,18
1,0,59,5
1,0,56,8
1,0,46,18
1,0,58,6
1,0,39,25
1,0,57,7
1,0,64,0
1,0,39,25
1,0,58,6
1,0,53,11
1,0,53,11
1,0,54,10
1,0,54,10
1,0,49,15
1,0,41,23
1,0,62,2
1,0,57,7
1,0,44,20
1,0,57,7
1,0,53,11
1,0,41,23
1,0,60,4
1,0,44,20
1,0,46,18
1,0,52,12
1,0,54,10

Cycle: 8
Edax2,DynamicRoxanne,Discs_Edax2,Discs_DynamicRoxanne
1,0,43,21
1,0,52,12
1,0,56,8
1,0,57,7
1,0,49,15
1,0,57,7
1,0,58,6
1,0,53,11
1,0,54,10
1,0,39,25
1,0,48,16
1,0,58,6
1,0,43,21
1,0,55,9
1,0,54,10
1,0,45,19
1,0,52,12
1,0,61,3
1,0,61,3
1,0,48,16
1,0,54,10
1,0,55,9
1,0,48,16
1,0,49,15
1,0,39,25
1,0,60,4
1,0,56,8
1,0,59,5
1,0,63,1
1,0,51,13
1,0,49,15
1,0,53,11
1,0,51,13
1,0,58,6
1,0,36,28
1,0,48,16
1,0,55,9
1,0,54,10
1,0,46,18
1,0,59,5
1,0,57,7
1,0,60,4
1,0,52,12
1,0,49,15
1,0,43,21
1,0,55,9
1,0,50,14
1,0,56,8
1,0,50,14
0,1,31,33
1,0,51,13
1,0,56,8
1,0,64,0
1,0,51,13
1,0,59,5
0,0,32,32
1,0,49,15
1,0,52,12
1,0,46,18
1,0,54,10
1,0,53,11
1,0,55,9
1,0,64,0
1,0,59,5
1,0,42,22
1,0,57,7
1,0,48,16
1,0,55,9
1,0,49,15
1,0,58,6
1,0,58,6
1,0,61,3
