Results for game Gambler against MCTSMaxIter3
Each cycle contains 10 games, where first half of games Gambler is black and second half MCTSMaxIter3 is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
Gambler,MCTSMaxIter3,Discs_Gambler,Discs_MCTSMaxIter3
0,1,18,46
0,1,14,50
0,1,11,53
0,1,15,49
0,1,14,50
0,1,28,36
0,1,15,49
0,1,19,45
0,1,26,38
0,1,27,37

Cycle: 1
Gambler,MCTSMaxIter3,Discs_Gambler,Discs_MCTSMaxIter3
0,1,25,39
0,1,13,51
0,1,20,44
0,1,7,57
0,1,18,46
0,1,13,51
0,1,21,43
0,1,10,54
0,1,23,41
0,1,20,44

Cycle: 2
Gambler,MCTSMaxIter3,Discs_Gambler,Discs_MCTSMaxIter3
0,1,14,50
0,1,31,33
0,1,24,40
0,1,14,50
0,1,21,43
0,1,17,47
0,1,16,48
0,1,24,40
0,1,27,37
0,1,24,40

Cycle: 3
Gambler,MCTSMaxIter3,Discs_Gambler,Discs_MCTSMaxIter3
0,1,16,48
0,1,9,55
0,1,17,47
0,1,12,52
0,1,23,41
0,1,17,47
0,1,18,46
0,1,31,33
0,1,14,50
0,1,20,44

Cycle: 4
Gambler,MCTSMaxIter3,Discs_Gambler,Discs_MCTSMaxIter3
0,1,7,57
0,1,14,50
0,1,22,42
0,1,24,40
0,1,18,46
0,1,21,43
0,1,19,45
0,1,18,46
0,1,20,44
0,1,24,40

Cycle: 5
Gambler,MCTSMaxIter3,Discs_Gambler,Discs_MCTSMaxIter3
0,1,24,40
0,1,15,49
0,1,21,43
0,1,14,50
0,1,11,53
0,1,12,52
0,1,20,44
0,1,22,42
0,1,26,38
0,1,13,51

Cycle: 6
Gambler,MCTSMaxIter3,Discs_Gambler,Discs_MCTSMaxIter3
0,1,22,42
0,1,17,47
0,1,16,48
0,1,15,49
0,1,11,53
0,1,22,42
0,1,17,47
0,1,16,48
0,1,26,38
0,1,22,42

Cycle: 7
Gambler,MCTSMaxIter3,Discs_Gambler,Discs_MCTSMaxIter3
0,1,25,39
0,1,10,54
0,1,21,43
0,1,13,51
0,1,12,52
0,1,24,40
0,1,21,43
0,1,23,41
0,1,26,38
0,1,17,47

Cycle: 8
Gambler,MCTSMaxIter3,Discs_Gambler,Discs_MCTSMaxIter3
0,1,15,49
0,1,21,43
0,1,20,44
0,1,15,49
0,1,13,51
0,1,20,44
0,1,27,37
0,1,29,35
0,1,27,37
0,1,18,46

Cycle: 9
Gambler,MCTSMaxIter3,Discs_Gambler,Discs_MCTSMaxIter3
0,1,25,39
0,1,16,48
0,1,20,44
0,1,19,45
0,1,18,46
0,1,22,42
0,1,24,40
0,1,27,37
0,1,24,40
0,1,24,40
