Results for game Greedy against MCTSMaxIter3
Each cycle contains 10 games, where first half of games Greedy is black and second half MCTSMaxIter3 is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
Greedy,MCTSMaxIter3,Discs_Greedy,Discs_MCTSMaxIter3
0,1,26,38
0,1,19,45
0,1,28,36
0,1,15,49
0,1,9,55
0,1,20,44
0,1,27,37
0,1,21,43
0,1,22,42
0,1,21,43

Cycle: 1
Greedy,MCTSMaxIter3,Discs_Greedy,Discs_MCTSMaxIter3
0,1,19,45
0,1,21,43
0,1,25,39
0,1,11,53
0,1,16,48
0,1,26,38
0,1,20,44
0,1,17,47
0,1,23,41
0,1,30,34

Cycle: 2
Greedy,MCTSMaxIter3,Discs_Greedy,Discs_MCTSMaxIter3
0,1,21,43
0,1,22,42
0,1,18,46
0,1,18,46
0,1,23,41
0,1,26,38
0,1,30,34
0,1,22,42
0,1,25,39
0,1,23,41

Cycle: 3
Greedy,MCTSMaxIter3,Discs_Greedy,Discs_MCTSMaxIter3
0,1,25,39
1,0,64,0
0,1,25,39
0,1,24,40
0,1,23,41
0,1,11,53
0,1,22,42
0,1,27,37
0,1,15,49
0,1,17,47

Cycle: 4
Greedy,MCTSMaxIter3,Discs_Greedy,Discs_MCTSMaxIter3
0,1,27,37
0,1,24,40
0,1,23,41
0,1,29,35
0,1,26,38
0,1,28,36
0,1,19,45
0,1,28,36
0,1,19,45
0,1,23,41

Cycle: 5
Greedy,MCTSMaxIter3,Discs_Greedy,Discs_MCTSMaxIter3
0,1,24,40
0,1,21,43
0,1,23,41
0,1,24,40
0,1,12,52
0,1,25,39
0,1,21,43
0,1,22,42
0,1,18,46
0,1,21,43

Cycle: 6
Greedy,MCTSMaxIter3,Discs_Greedy,Discs_MCTSMaxIter3
0,1,17,47
0,1,19,45
0,1,24,40
1,0,64,0
0,1,14,50
0,1,16,48
0,1,28,36
0,1,21,43
0,1,23,41
0,1,28,36

Cycle: 7
Greedy,MCTSMaxIter3,Discs_Greedy,Discs_MCTSMaxIter3
0,1,25,39
0,1,22,42
0,1,21,43
0,1,23,41
0,1,27,37
0,1,21,43
0,1,17,47
0,1,26,38
0,1,28,36
0,1,19,45

Cycle: 8
Greedy,MCTSMaxIter3,Discs_Greedy,Discs_MCTSMaxIter3
0,1,25,39
0,1,27,37
0,1,21,43
0,1,25,39
0,1,21,43
0,1,21,43
0,1,15,49
0,1,20,44
0,1,26,38
0,1,13,51

Cycle: 9
Greedy,MCTSMaxIter3,Discs_Greedy,Discs_MCTSMaxIter3
0,1,20,44
0,1,22,42
0,1,15,49
0,1,25,39
0,1,25,39
0,1,29,35
0,1,31,33
0,1,24,40
0,1,26,38
0,1,23,41
