Results for game Edax13 against AlphaBeta1
Each cycle contains 100 games, where first half of games Edax13 is black and second half AlphaBeta1 is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
Edax13,AlphaBeta1,Discs_Edax13,Discs_AlphaBeta1
1,0,59,5
1,0,46,18
1,0,62,2
1,0,61,3
1,0,55,9
1,0,49,15
1,0,57,7
1,0,58,6
1,0,39,25
1,0,64,0
1,0,58,6
1,0,50,14
1,0,59,5
1,0,62,2
1,0,62,2
1,0,58,6
1,0,59,5
1,0,57,7
1,0,59,5
1,0,50,14
1,0,62,2
1,0,53,11
1,0,56,8
1,0,53,11
1,0,39,25
1,0,43,21
1,0,55,9
1,0,53,11
0,1,21,43
1,0,56,8
1,0,40,24
1,0,50,14
1,0,54,10
1,0,58,6
1,0,60,4
1,0,38,26
1,0,49,15
1,0,52,12
1,0,53,11
1,0,61,3
1,0,57,7
1,0,57,7
1,0,60,4
1,0,57,7
1,0,52,12
1,0,46,18
1,0,50,14
1,0,53,11
1,0,60,4
1,0,52,12
1,0,60,4
1,0,40,24
1,0,57,7
1,0,59,5
1,0,59,5
1,0,60,4
1,0,51,13
1,0,57,7
1,0,57,7
1,0,64,0
1,0,64,0
1,0,55,9
1,0,52,12
1,0,55,9
1,0,54,10
1,0,54,10
1,0,58,6
1,0,64,0
1,0,56,8
1,0,54,10
1,0,50,14
1,0,46,18
1,0,57,7
1,0,51,13
1,0,46,18
1,0,52,12
1,0,53,11
1,0,57,7
1,0,36,28
1,0,40,24
1,0,58,6
1,0,57,7
1,0,50,14
1,0,58,6
1,0,61,3
1,0,51,13
1,0,56,8
0,1,23,41
1,0,59,5
1,0,49,15
1,0,54,10
1,0,62,2
1,0,54,10
1,0,51,13
1,0,55,9
1,0,57,7
1,0,62,2
1,0,62,2
1,0,35,29
1,0,55,9

Cycle: 1
Edax13,AlphaBeta1,Discs_Edax13,Discs_AlphaBeta1
1,0,55,9
1,0,51,13
1,0,60,4
1,0,63,1
1,0,53,11
1,0,46,18
1,0,62,2
1,0,56,8
1,0,61,3
1,0,60,4
1,0,60,4
1,0,61,3
1,0,59,5
1,0,49,15
1,0,59,5
1,0,52,12
1,0,60,4
1,0,53,11
1,0,42,22
1,0,62,2
1,0,59,5
1,0,56,8
1,0,62,2
1,0,59,5
1,0,56,8
1,0,45,19
1,0,53,11
1,0,50,14
0,1,30,34
1,0,55,9
1,0,55,9
1,0,52,12
1,0,64,0
1,0,64,0
1,0,51,13
1,0,60,4
1,0,60,4
1,0,58,6
1,0,59,5
1,0,51,13
1,0,53,11
1,0,37,27
1,0,49,15
1,0,62,2
1,0,56,8
1,0,56,8
1,0,61,3
1,0,61,3
1,0,60,4
1,0,58,6
1,0,51,13
1,0,64,0
1,0,57,7
1,0,53,11
1,0,56,8
1,0,46,18
1,0,38,26
1,0,35,29
1,0,62,2
1,0,44,20
1,0,49,15
1,0,55,9
1,0,47,17
0,1,0,64
1,0,51,13
1,0,51,13
1,0,48,16
1,0,63,1
1,0,50,14
1,0,48,16
1,0,49,15
1,0,60,4
1,0,60,4
1,0,57,7
1,0,55,9
1,0,56,8
1,0,52,12
1,0,59,5
1,0,62,2
1,0,60,4
1,0,57,7
1,0,50,14
1,0,56,8
1,0,45,19
1,0,58,6
1,0,64,0
1,0,37,27
1,0,53,11
1,0,53,11
1,0,56,8
1,0,53,11
1,0,60,4
1,0,62,2
1,0,57,7
1,0,52,12
1,0,57,7
1,0,55,9
1,0,56,8
1,0,48,16
1,0,53,11

Cycle: 2
Edax13,AlphaBeta1,Discs_Edax13,Discs_AlphaBeta1
1,0,57,7
1,0,64,0
1,0,52,12
1,0,53,11
1,0,39,25
1,0,53,11
1,0,61,3
1,0,63,1
1,0,43,21
1,0,64,0
1,0,48,16
1,0,53,11
1,0,63,1
1,0,41,23
1,0,47,17
1,0,60,4
1,0,48,16
1,0,47,17
1,0,57,7
1,0,62,2
1,0,56,8
1,0,59,5
1,0,56,8
1,0,62,2
1,0,53,11
1,0,54,10
1,0,64,0
1,0,63,1
1,0,62,2
1,0,60,4
1,0,59,5
1,0,52,12
1,0,45,19
1,0,58,6
1,0,54,10
1,0,56,8
1,0,64,0
1,0,55,9
1,0,57,7
